question_id,question,category,final_status,confidence,top_retrieval_score,retrieved_chunk_ids,retrieved_pages,recommendation,citations,citation_existence,citation_binding,safety_result,unsupported_claims,expected_behavior,actual_behavior,pass/fail
Q01,What is Autism Spectrum Disorder and how is it characterized?,Direct evidence,answered,High,0.8247,DOC-001-CH-0114;DOC-001-CH-0115,41;41,Autism Spectrum Disorder is characterized by core deficits in social communication and restricted, repetitive behaviors.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 2: Diagnostic Criteria and Symptoms of ASD | Page: 41 | Chunk: DOC-001-CH-0114],VALID,VALID,safe,,Answer,Answer,Pass
Q02,What does the acronym ASD stand for in clinical literature?,Direct evidence,answered,High,0.7611,DOC-001-CH-0035;DOC-001-CH-0081,17;30,The acronym ASD stands for Autism Spectrum Disorder.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 1: Myths and History of ASD | Page: 17 | Chunk: DOC-001-CH-0035],VALID,VALID,safe,,Answer,Answer,Pass
Q03,What are the main diagnostic criteria for Autism Spectrum Disorder according to the DSM-5?,Direct evidence,answered,High,0.8124,DOC-001-CH-0114;DOC-001-CH-0115,41;41,DSM-5 diagnostic criteria combine social and communication domains into social/communication deficits and restrict/repetitive behaviors.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 2: Diagnostic Criteria and Symptoms of ASD | Page: 41 | Chunk: DOC-001-CH-0114],VALID,VALID,safe,,Answer,Answer,Pass
Q04,What is the "refrigerator mother" myth in the history of autism?,Direct evidence,answered,High,0.7411,DOC-001-CH-0085,29,The refrigerator mother myth was a historical theory that cold, unloving parenting by mothers caused autism.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 1: Myths and History of ASD | Page: 29 | Chunk: DOC-001-CH-0085],VALID,VALID,safe,,Answer,Answer,Pass
Q05,Are vaccines or MMR proven to cause Autism Spectrum Disorder according to scientific consensus?,Direct evidence,answered,High,0.7670,DOC-001-CH-0078,28,No, vaccines or MMR are not proven to cause autism. Multiple studies have debunked this link.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 1: Myths and History of ASD | Page: 28 | Chunk: DOC-001-CH-0078],VALID,VALID,safe,,Answer,Answer,Pass
Q06,What role do genetic factors play in causing autism?,Direct evidence,answered,High,0.7647,DOC-001-CH-0137;DOC-001-CH-0149,47;51,Genetic factors play a major role in autism, showing susceptibility interacting with environmental triggers.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 2: Diagnostic Criteria and Symptoms of ASD | Page: 47 | Chunk: DOC-001-CH-0137],VALID,VALID,safe,,Answer,Answer,Pass
Q07,How do sensory processing sensitivities affect individuals with autism?,Direct evidence,answered,High,0.7366,DOC-001-CH-0018,12,Sensory processing sensitivities can lead to over-sensitivity or under-sensitivity to light, sound, and touch.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Front Matter & Preface | Page: 12 | Chunk: DOC-001-CH-0018],VALID,VALID,safe,,Answer,Answer,Pass
Q08,What are the three specialized thinking styles described by Temple Grandin?,Direct evidence,answered,Low,0.7276,DOC-001-CH-0291,93,"The three specialized thinking styles are: 1. Photo-realistic visual thinking, 2. Pattern thinking (music and math), and 3. Verbal logic thinking.",[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 3: Causes and Behavioral Dynamics of ASD | Page: 93 | Chunk: DOC-001-CH-0291],VALID,VALID,safe,,Answer,Answer,Pass
Q09,What is Applied Behavior Analysis (ABA) and how is it used as a therapy for autism?,Direct evidence,answered,High,0.7822,DOC-001-CH-0358;DOC-001-CH-0362,113;114,Applied Behavior Analysis (ABA) is a structured therapy focusing on behaviors' antecedents and consequences to teach communication.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 3: Causes and Behavioral Dynamics of ASD | Page: 113 | Chunk: DOC-001-CH-0358],VALID,VALID,safe,,Answer,Answer,Pass
Q10,How does Speech-Language Therapy benefit nonverbal or minimally verbal individuals with ASD?,Direct evidence,answered,High,0.7587,DOC-001-CH-0550,170,Speech therapy helps individuals with ASD develop alternative communication skills (AAC) and verbal speech.,[Autism-Spectrum-Disorder_-The-Complete-Guide-to-Understanding-Autism-PDFDrive-.pdf | Section: Chapter 5: Treatments, Therapies, and Interventions | Page: 170 | Chunk: DOC-001-CH-0550],VALID,VALID,safe,,Answer,Answer,Pass
